Name,Price,URL,Delivery Date,Sponsored,Rating,Number of Ratings,Units Sold
Velora Queen Metal Bed (Black),"₹7,999",https://www.amazon.in/dp/B0FF56HPB1,"Sat, 3 Jan, 7 am - 9 pm",Yes,3.6,16,N/A
"Diego Office Chair with Height Adjustable Mechanism, Ergonomic Mid-Back Mesh Design |Heavy Duty Metal Base | Multi-Adjustment Revolving Chair (Self Assembly) (Mid Back, Black)","₹2,799",https://www.amazon.in/dp/B0D2XZ6SZC,"Sat, 3 Jan, 7 am - 9 pm",Yes,3.5,1,N/A
Steel Art Craft Sofa Leg Sofa Furniture Heavy Model Rose Gold Finish Y Design Sofa Leg Set of 4,₹499,https://www.amazon.in/dp/B09ZYL5H4S,"Mon, 5 Jan",Yes,4.7,3,N/A
"LAPO 2 Piece Knobs for Cabinets– Modern Aluminum Drawer Knob for Kitchen, Wardrobe, Cupboard, and Home Furniture (Antique Finish)",₹328,https://www.amazon.in/dp/B0CG32GBX7,"Sat, 3 Jan",Yes,4.2,232,N/A
"Oslen Metal (Pack of 2 Self-Adhesive Shelf/Storage Organizer for Bathroom and Kitchen Corner Wall Mounted Rack Shelf Bathroom Accessories Storage Rack (No Drilling-Shelf Adhesive) (8 and 9 INCH,Black)",₹299,https://www.amazon.in/Oslen-Self-Adhesive-Organizer-Accessories-Drilling-Shelf/dp/B0DY1XYMYW/ref=sr_1_5,"Fri, 2 Jan",No,3.9,2,N/A
Metal Kitchen Trolley Kitchen Organizer Items and Kitchen Accessories Items for Kitchen Rack Square Design for Fruits & Vegetable Onion Storage Kitchen Trolley with Wheels (4 Layer),"₹2,138",https://www.amazon.in/Rasvesh-Kitchen-Trolley-Organizer-Accessories/dp/B0C3MD9TG1/ref=sr_1_6,"Mon, 5 Jan",No,4.2,1,100
"4 Tier Shoe Rack with Shelf, Folding Shoe Rack for Bedroom, Living Room,Entryway, Black,Footwear Stand for Home, ShoeRack Plastic Home Furniture|Cabinet Shelves 4 Shelf",₹199,https://www.amazon.in/HEMOVIA-Shoe-Rack-Home-Furniture/dp/B0G81NY7Z7/ref=sr_1_7,"Wed, 7 Jan",No,4.2,12,N/A
"DECOWORLD|| Premium Side Table || Metal Side Table with Wooden Top || End Table for Living Room, Sofa C Type Table or Bed Side Stand (Golden)","₹1,849",https://www.amazon.in/DECOWORLD-Premium-Wooden-Living-Golden/dp/B0C51XTT8D/ref=sr_1_8,"Sat, 3 Jan",No,4.1,651,200
"Amazon Brand - Umi Metal Multi-Purpose Wall Mount Floating Shelf Wall Mounted Storage Shelves for Kitchen, Bathroom, Bedroom, Office (Medium, Black)",₹529,https://www.amazon.in/Amazon-Brand-Multi-Purpose-Floating-Bathroom/dp/B0B4B3448L/ref=sr_1_9,"Sat, 3 Jan",No,4.3,1,700
"TARKAN 4-Tier Mesh Metal Kitchen Trolley with Wheels, Storage Organizer Rack (Black)","₹1,299",https://www.amazon.in/TARKAN-Kitchen-Trolley-Storage-Organizer/dp/B0DG95WG8H/ref=sr_1_10,"Fri, 2 Jan",No,3.4,129,100
"Round Coffee Table, Modern Nestings Table Set of 2, Sofa Side Table with Marble Veneer Top and Metal Frame, End Table for Living Room Bedroom Home or Office (Golden White)","₹2,559",https://www.amazon.in/NEST-NATURE-HAVEN-Table-Set/dp/B0D7VVNRXY/ref=sr_1_11,"Thu, 8 Jan",No,3.9,698,200
"Round Coffee Table End Table Metal Sofa Side Tables, Small Creative Bedside Corner Table for Living Room Balcony Bedroom Nightstand Home Décor Furniture (Gold White)","₹1,649",https://www.amazon.in/WellHouze-Creative-Bedside-Nightstand-Furniture/dp/B0DRYH4K4C/ref=sr_1_12,"Fri, 9 Jan",No,4.1,60,50
"Crosscut Furniture Metal Floor Lamp with 3 Shelves (Fresh Flower) LED Bulb Included, Yellow","₹1,795",https://www.amazon.in/Crosscut-Furniture-Metal-Shelves-Multicolor/dp/B0CK4BZZKG/ref=sr_1_13,"Sat, 3 Jan",No,4.5,6,100
"amazon basics Metal Multi-Purpose Standing Rack for Microwave, Oven, OTG | Kitchen Organizer (Brown), Freestanding","₹1,349",https://www.amazon.in/amazon-basics-Multi-Purpose-Microwave-Organizer/dp/B0C7KF7V73/ref=sr_1_14,"Sat, 3 Jan",No,3.9,1,400
"YouCopia 4 Tier Shoe Rack with Shelf, Folding Shoe Rack for Bedroom, Living Room,Entryway, Black,Footwear Stand for Home, ShoeRack Plastic Home Furniture|Cabinet Shelves 4 Shelf (Black)",₹375,https://www.amazon.in/YouCopia-Shoe-Rack-Home-Furniture/dp/B0FY6M8VJ3/ref=sr_1_15,"Wed, 7 Jan",No,4.4,798,600
